mode,barangay,n,actual_total,predicted_total,actual_mean,predicted_mean,mae,rmse,r2
environmental_only,QUIOT PARDO,858,874,807.1852527353855,1.0186480186480187,0.9407753528384446,0.9192187589167141,1.1603312440189095,-0.04854547002170939
environmental_only,SAMBAG I (POB.),858,558,639.8158567764336,0.6503496503496503,0.7457061267790601,0.6702681580039089,0.8006689675389473,-0.020281484367746128
environmental_only,SAMBAG II (POB.),858,856,509.532038692526,0.9976689976689976,0.593860184956324,0.8472660770507661,1.0303475140988563,-0.19537021083754902
environmental_only,SAN ANTONIO (POB.),858,144,78.11971893051262,0.16783216783216784,0.09104862346213592,0.23414248389421227,0.45567693680711735,-0.03680459916645207
environmental_only,SAN JOSE,858,112,156.62598118657448,0.13053613053613053,0.18254776362071617,0.2665491112859167,0.3458726560315295,-0.05402323222318417
environmental_only,SAN NICOLAS CENTRAL,858,587,153.03775795626692,0.6841491841491841,0.17836568526371435,0.7183557247765842,1.1544723902065357,-0.2519623735089833
environmental_only,SAN ROQUE (CIUDAD),858,381,101.43651044136908,0.44405594405594406,0.1182243711437868,0.48461789060955907,0.8178389127900855,-0.1960498826842465
environmental_only,SANTA CRUZ (POB.),858,124,86.83284023094856,0.1445221445221445,0.10120377649294704,0.21616592363934697,0.3550482537884911,-0.019604145781950022
environmental_only,SAPANGDAKU,858,146,109.4836684222387,0.17016317016317017,0.12760334314946234,0.2496632175233297,0.3760478797375543,-0.0014471039580699063
environmental_only,SAWANG CALERO (POB.),858,641,170.96493283643514,0.747086247086247,0.19925982848069362,0.7823016840089001,1.3237443330641296,-0.22420886351259095
environmental_only,SINSIN,858,52,5.373340732427605,0.06060606060606061,0.00626263488627926,0.06617439273590908,0.24508558444860384,-0.05504680151960395
environmental_only,SIRAO,858,130,57.158562794860416,0.15151515151515152,0.06661837155578137,0.19858317452155744,0.3702520031335787,-0.06633748859144029
environmental_only,SUBA POB. (SUBA SAN NICOLAS),858,826,259.58649337863704,0.9627039627039627,0.3025483605811621,0.957147391646175,1.4417010706816122,-0.2971677553669587
environmental_only,SUDLON I,858,65,19.122093453570812,0.07575757575757576,0.022286822206958986,0.09502404245030202,0.2712281892538603,-0.05064907112675976
environmental_only,SUDLON II,858,52,12.197168071412303,0.06060606060606061,0.014215813603044641,0.07270360689053851,0.2431315515729842,-0.03829038777809979
environmental_only,T. PADILLA,858,411,211.88987291869336,0.479020979020979,0.24695789384463096,0.5471493701367446,0.7666952715015142,-0.12547596759631285
environmental_only,TABUNAN,858,112,20.626708613336202,0.13053613053613053,0.024040452929296272,0.1480281302321876,0.35326902923288583,-0.09958512304071254
environmental_only,TAGBAO,858,91,1.8364460932810185,0.10606060606060606,0.002140380062099089,0.1077992471684,0.36879273603803836,-0.08706643277919879
environmental_only,TALAMBAN,858,895,1226.8750790472432,1.043123543123543,1.4299243345538966,0.9662284546459646,1.1650510946292265,-0.12477903807046165
environmental_only,TAPTAP,858,68,23.781883406974817,0.07925407925407925,0.027717812828641976,0.10380499787170494,0.326738931876982,-0.033719668473204845
environmental_only,TEJERO (VILLA GONZALO),858,474,306.5681445803552,0.5524475524475524,0.35730552981393376,0.6607762875341975,0.9276123424707398,-0.06666111720901924
environmental_only,TINAGO,858,279,86.28131240755447,0.32517482517482516,0.1005609701719749,0.37667641933260393,0.6732640219849303,-0.12966863666894857
environmental_only,TISA,858,1509,1597.660957116577,1.7587412587412588,1.8620757075950782,1.1786293885901538,1.4469473973785085,-0.10813796482976579
environmental_only,TO-ONG PARDO,858,36,14.216996467155697,0.04195804195804196,0.016569925952395915,0.0559600687490679,0.20057779285098473,-8.429941504910499e-4
environmental_only,ZAPATERA,858,223,148.16311807090685,0.25990675990675993,0.17268428679592873,0.3479728866319067,0.4847096633574403,-0.033535006319905136
standard,ADLAON,936,115,84.955914813,0.12286324786324786,0.09076486625320512,0.18859277348183762,0.3360566967088704,-0.04793852941638033
standard,AGSUNGOT,936,69,9.671355626,0.07371794871794872,0.01033264489957265,0.08262178143589743,0.33260035593621445,-0.036328072126981636
standard,APAS,936,827,1267.510915,0.8835470085470085,1.354178327991453,1.0062240995576923,1.2009780654963988,-0.3660113056304406
standard,BABAG,936,225,137.612316501,0.2403846153846154,0.14702170566346154,0.312035704917735,0.4723134994635934,-0.06037909988762835
standard,BACAYAN,936,395,521.278249069,0.422008547008547,0.5569212062702992,0.5883074412852564,0.7025253262721719,-0.26803941056279146
standard,BANILAD,936,525,728.662501237,0.5608974358974359,0.7784855782446581,0.692116467806624,0.8275722752929352,-0.14364108020274013
standard,BASAK PARDO,936,477,941.358200421,0.5096153846153846,1.005724573099359,0.891943826409188,1.0951538163568457,-0.3691722038076597
standard,BASAK SAN NICOLAS,936,1509,1691.030405758,1.6121794871794872,1.8066564164081196,1.3233000851752137,1.6418242890303703,-0.06718841602373171
standard,BINALIW,936,69,27.822395186,0.07371794871794872,0.02972478118162393,0.09961847394871795,0.2749081255137385,-0.04158600243213684
