mode,barangay,horizon,n,actual_total,predicted_total,actual_mean,predicted_mean,mae,rmse,r2
environmental_only,BASAK SAN NICOLAS,9,63,104,62.9645810342411,1.6507936507936507,0.9994377941943032,1.1887388575548474,1.6240466478151694,-0.15137997186274554
environmental_only,BASAK SAN NICOLAS,10,62,98,57.91408223376677,1.5806451612903225,0.9340981005446254,1.154970391225058,1.5808624271759923,-0.23860758077573796
environmental_only,BASAK SAN NICOLAS,11,61,98,62.56873949211468,1.6065573770491803,1.025717040854339,1.1432450705264712,1.5313747520057952,-0.16722167151574308
environmental_only,BASAK SAN NICOLAS,12,60,95,42.97962565572105,1.5833333333333333,0.7163270942620176,1.2676299551451455,1.686042514661191,-0.41449366972800505
environmental_only,BINALIW,0,72,7,2.42877451409362,0.09722222222222222,0.03373297936241138,0.12521384430497284,0.3424684736535849,-0.015031141628144118
environmental_only,BINALIW,1,71,7,2.6208835502767456,0.09859154929577464,0.03691385282079924,0.13151121382660994,0.3508900641350348,-0.051978411635424715
environmental_only,BINALIW,2,70,5,2.9524476045092833,0.07142857142857142,0.04217782292156119,0.10941253660607911,0.2632289996197605,-0.044672555630822286
environmental_only,BINALIW,3,69,5,2.740401069218211,0.07246376811594203,0.03971595752490161,0.10792646986642554,0.2647846973106575,-0.04311926863199145
environmental_only,BINALIW,4,68,5,2.73779876703381,0.07352941176470588,0.04026174657402661,0.10904984504077853,0.26572539203158785,-0.03650973294875226
environmental_only,BINALIW,5,67,5,1.5584821197525047,0.07462686567164178,0.023260927160485143,0.09408669872128539,0.2675384992966693,-0.036478946425637204
environmental_only,BINALIW,6,66,5,2.0229789398255233,0.07575757575757576,0.030651196057962474,0.10269489991803657,0.27036627397489155,-0.043982126822806666
environmental_only,BINALIW,7,65,5,1.8016536803286758,0.07692307692307693,0.027717748928133473,0.10056758185333108,0.2717170192789816,-0.03977445146911718
environmental_only,BINALIW,8,64,5,1.5473670818167888,0.078125,0.024177610653387326,0.09657380120264497,0.2709081324388123,-0.01901837845153498
environmental_only,BINALIW,9,63,5,1.531502931482015,0.07936507936507936,0.024309570340984365,0.09711734875231277,0.27173271454239184,-0.010571289301993358
environmental_only,BINALIW,10,62,5,1.2236068799075919,0.08064516129032258,0.019735594837219227,0.09492297724863037,0.2754053025669912,-0.023017621549717093
environmental_only,BINALIW,11,61,5,2.044046469782138,0.08196721311475409,0.03350895852101866,0.10778924752492608,0.2751778439646289,-0.00630253305489159
