mode,barangay,horizon,n,mae,rmse,r2
environmental_only,CAMBINOCOT,0,72,0.12726691447733116,0.28671712295683577,-0.024422060973579685
environmental_only,CAMBINOCOT,1,71,0.142625795194701,0.26808220503458513,-0.04707206386107243
environmental_only,CAMBINOCOT,2,70,0.11971902721023427,0.2654468593855477,-0.012504317514629104
environmental_only,CAMBINOCOT,3,69,0.17152180741599155,0.2796585032651679,-0.10819187587313905
environmental_only,CAMBINOCOT,4,68,0.10768299163137546,0.26498649514507233,0.019071588443317466
environmental_only,CAMBINOCOT,8,64,0.07792646819540021,0.1366583335616603,-0.21420394508027996
environmental_only,CAMBINOCOT,12,60,0.07966151809599584,0.14312313871301446,-0.2498853933259868
environmental_only,CAMPUTHAW (POB.),0,72,0.955156093554226,1.3089062119972141,-0.01676161257430797
environmental_only,CAMPUTHAW (POB.),1,71,0.9661464537359633,1.3363603653689877,-0.04656072433352332
environmental_only,CAMPUTHAW (POB.),2,70,0.9627117897733614,1.3126605280547619,-0.012359777382941584
environmental_only,CAMPUTHAW (POB.),3,69,0.9298385770667043,1.30111205848357,-0.0014738587164477845
environmental_only,CAMPUTHAW (POB.),4,68,0.9409833960043532,1.3083555825792217,-0.0010543801790534602
environmental_only,CAMPUTHAW (POB.),8,64,0.9939613449423732,1.4253130127932894,-0.14442227856657563
environmental_only,CAMPUTHAW (POB.),12,60,1.011624781915396,1.4623685795866392,-0.15752198244235194
environmental_only,CAPITOL SITE (POB.),0,72,0.6820976100579869,0.8430759658114574,-0.0037233462610539725
environmental_only,CAPITOL SITE (POB.),1,71,0.6758764674903041,0.8455905278963195,0.00319893215833289
environmental_only,CAPITOL SITE (POB.),2,70,0.6827094887803079,0.8401263707313358,0.018592405757318797
environmental_only,CAPITOL SITE (POB.),3,69,0.6861973040311351,0.8319865161140205,0.05026753849516119
environmental_only,CAPITOL SITE (POB.),4,68,0.7070568457750174,0.8618636121831516,-0.005488374967483223
environmental_only,CAPITOL SITE (POB.),8,64,0.6892020142159044,0.8368620114525697,-0.04388084256410396
environmental_only,CAPITOL SITE (POB.),12,60,0.6695337427036525,0.8261770884627718,-0.11896488770626656
environmental_only,CARRETA,0,72,0.5899486514105461,0.7656009171428647,-0.11099614562584903
environmental_only,CARRETA,1,71,0.5815631093373984,0.762570584914629,-0.09462716753594291
environmental_only,CARRETA,2,70,0.5833557190899378,0.7577170867714639,-0.07335459731729399
environmental_only,CARRETA,3,69,0.5743443953806195,0.7600511071801163,-0.07266905646956179
environmental_only,CARRETA,4,68,0.5833554694971078,0.7501488779719574,-0.037906948585098243
environmental_only,CARRETA,8,64,0.5729010024364262,0.8036720821775272,-0.15024373434379035
environmental_only,CARRETA,12,60,0.5443205711138743,0.7759015439547308,-0.2462815073495146
environmental_only,CENTRAL (POB.),0,72,0.07068464196668561,0.2862348153870931,-0.02097845118682251
environmental_only,CENTRAL (POB.),1,71,0.07047277017393924,0.2873096521583945,-0.014923418053772286
environmental_only,CENTRAL (POB.),2,70,0.0756702714398615,0.289054363694285,-0.013383374595220765
environmental_only,CENTRAL (POB.),3,69,0.07136041526887273,0.2924451357115354,-0.023066616552190666
environmental_only,CENTRAL (POB.),4,68,0.07534258484525183,0.2942720645995454,-0.02147991318625464
environmental_only,CENTRAL (POB.),8,64,0.059307751364964814,0.27717620604022997,-0.01183908392967914
environmental_only,CENTRAL (POB.),12,60,0.060337883194011406,0.286252237994557,-0.013694974312072228
environmental_only,COGON PARDO,0,72,0.7186131445836473,0.8707057680860857,0.050691226267071454
environmental_only,COGON PARDO,1,71,0.6904742648874795,0.8559380423448791,0.09258292656226486
