variable,feature,lag,cor_log_incidence,cor_cases,cor_outbreak,cor_large_outbreak,peak_lift,selection_score,selected,group
target_log_incidence,target_log_incidence_lag16,16,0.09814652635789822,0.11360392980771741,0.11230515357888202,0.060574884236594705,0.34505988254700043,0.10270198034946547,FALSE,case
target_log_incidence,target_log_incidence_lag17,17,0.0959649163656544,0.10791464080591832,0.09948204080478797,0.05708182380784047,0.3247676231446003,0.09697949723057286,FALSE,case
target_log_incidence,target_log_incidence_lag18,18,0.09249835873323206,0.10013131132432351,0.10031393507715428,0.05094520543772293,0.2895009104268505,0.09239614168691226,FALSE,case
target_log_incidence,target_log_incidence_lag19,19,0.08510762439765011,0.09881107883934113,0.09818652522446994,0.05472625284907008,0.3106080972150951,0.08971772414103246,FALSE,case
target_log_incidence,target_log_incidence_lag20,20,0.07997396634605144,0.09068927932315825,0.09222594793486259,0.04628523879216545,0.26237878828703415,0.08264436528903844,FALSE,case
rainfall,rainfall_lag20,20,0.04715378623097918,0.04473352665641337,0.04538877780049947,0.025501327321178175,0.14456028638827176,0.04396110957645564,TRUE,environment
rainfall,rainfall_lag17,17,0.04276895147470534,0.03728078789732883,0.029037807340948168,0.02622654603846935,0.14921620348928255,0.03707052218220346,TRUE,environment
rainfall,rainfall_lag18,18,0.034761208192487375,0.037690887551757014,0.03260144559934981,0.029745285232348897,0.16903037486098474,0.03578567969035228,FALSE,environment
rainfall,rainfall_lag1,1,0.03788175877010911,0.03643682262295771,0.03644604412036144,0.02138716115992562,0.12396629677433334,0.03568369224272924,FALSE,environment
rainfall,rainfall_lag4,4,0.03883861413641979,0.03610629457977686,0.03031018029589467,0.02094882015696418,0.12105640491484704,0.03459992814513612,FALSE,environment
rainfall,rainfall_lag2,2,0.0352216356757273,0.03548612310091185,0.030753368895519925,0.024078874270614673,0.13947134941068248,0.033856493113121604,FALSE,environment
rainfall,rainfall_lag19,19,0.03469547799601249,0.03515334216481497,0.035846687503377495,0.016439644369578246,0.093305980232155,0.0330578215562181,FALSE,environment
rainfall,rainfall_lag3,3,0.03746193754938992,0.033000950573198524,0.028818335992731207,0.019625134243743576,0.1135407472977398,0.03263048972546229,FALSE,environment
rainfall,rainfall_lag6,6,0.031025648127202647,0.029916881023625903,0.026577283147314956,0.024400340922125143,0.14066908711621987,0.029934016658554535,FALSE,environment
rainfall,rainfall_lag5,5,0.032813595933299064,0.027956493555550063,0.030663882947158414,0.015181620847580516,0.08762625160226996,0.028983082844213925,FALSE,environment
rainfall,rainfall_lag16,16,0.03080343951481116,0.027628166176284632,0.02649774659870031,0.01615877283366998,0.0920471303784029,0.027519199125816404,FALSE,environment
rainfall,rainfall_lag15,15,0.028232758214032882,0.021947749842755625,0.01969107364014341,0.014090582965754876,0.08036307715532212,0.023152447971597732,FALSE,environment
rainfall,rainfall_lag7,7,0.01919918796267763,0.021516448422493492,0.017036953798638014,0.013299771074712629,0.07658300584261384,0.019188401611594318,FALSE,environment
rainfall,rainfall_lag13,13,0.019441620392719357,0.019868967575795114,0.017850999672990784,0.014326480686651601,0.08190581897815666,0.019133202396422903,FALSE,environment
rainfall,rainfall_lag12,12,0.020074356935206306,0.01714476329205102,0.018895806621395027,0.009211456002446158,0.05272607664940895,0.017748528783617948,FALSE,environment
